row ID,QUALIFIED
41787,0
89676,0
2028,0
53179,0
58438,0
27467,0
70676,0
34295,0
61037,0
32133,0
91719,0
4094,0
97423,0
16143,1
59215,0
36482,0
31613,0
61118,1
25710,0
87027,0
67234,0
12470,0
41146,1
70066,0
60574,0
104833,0
68077,1
81783,0
68472,0
101488,0
57845,1
98323,0
44253,0
57711,0
2030,1
80935,0
101002,0
62384,0
19423,0
68305,0
70470,0
567,1
52718,0
55854,0
30560,0
54001,0
76560,0
46643,0
82091,0
79330,0
39372,0
3816,0
48560,0
60168,0
106735,0
47608,0
77988,0
30660,0
48515,1
41212,0
44500,0
42170,1
24477,0
102251,0
21620,0
66471,0
103976,0
21925,0
54251,0
94050,0
84582,0
21841,1
64275,0
81643,1
56388,0
69057,0
47677,0
81461,0
7826,0
87388,0
42092,0
70671,0
8596,0
69028,0
8313,0
3184,0
36660,1
42897,1
15966,0
66054,0
94555,0
95778,0
43642,1
18228,0
54519,0
22704,0
11708,0
43643,0
70762,0
11041,1
48776,0
65265,0
35354,1
38139,1
15796,1
85191,0
22624,0
65655,0
30485,1
78384,1
16416,1
104205,0
85661,0
20418,1
84285,0
50283,0
87407,0
11881,0
55555,0
63195,0
82680,0
69541,0
12954,0
61644,0
42893,0
44426,0
36080,0
63985,0
102423,0
62143,0
65678,0
38085,0
29176,1
12441,0
20574,0
53985,0
31880,1
7613,0
39184,1
91968,0
85840,0
41378,1
98950,0
75050,0
61780,0
69270,0
65631,0
28648,0
70068,0
86781,0
35996,1
79020,0
157,1
101472,0
49639,0
87601,0
19432,0
58655,0
67174,0
42600,1
100871,0
49189,0
66449,0
54637,0
55562,0
90719,0
73123,1
84321,0
74504,0
70824,0
90706,1
94247,0
89207,0
49961,0
65330,0
78522,1
43266,0
97567,0
31805,0
34929,0
106526,0
49050,1
45656,0
67015,0
76314,0
49708,0
88650,0
84824,0
107013,0
18316,0
57709,0
61230,1
27311,0
30960,0
10509,0
87851,0
58043,0
6660,0
2773,1
45823,1
51297,1
74998,1
58379,0
61681,0
50191,0
65665,0
40463,0
60420,0
11594,0
78274,0
27629,0
68150,0
22175,1
68511,0
8272,1
55427,0
10489,0
39203,0
31953,0
81116,0
52228,0
31068,1
84955,0
